week,kickoff,home_team,away_team
1,2015-09-10T20:30:00-05:00,Patriots,Steelers
1,2015-09-13T13:00:00-05:00,Bears,Packers
1,2015-09-13T13:00:00-05:00,Texans,Chiefs
1,2015-09-13T13:00:00-05:00,Jets,Browns
1,2015-09-13T13:00:00-05:00,Bills,Colts
1,2015-09-13T13:00:00-05:00,Redskins,Dolphins
1,2015-09-13T13:00:00-05:00,Jaguars,Panthers
1,2015-09-13T13:00:00-05:00,Rams,Seahawks
1,2015-09-13T16:05:00-05:00,Cardinals,Saints
1,2015-09-13T16:05:00-05:00,Chargers,Lions
1,2015-09-13T16:25:00-05:00,Buccaneers,Titans
1,2015-09-13T16:25:00-05:00,Raiders,Bengals
1,2015-09-13T16:25:00-05:00,Broncos,Ravens
1,2015-09-13T20:30:00-05:00,Cowboys,Giants
1,2015-09-14T19:10:00-05:00,Falcons,Eagles
1,2015-09-14T22:20:00-05:00,49ers,Vikings
2,2015-09-17T20:25:00-05:00,Chiefs,Broncos
2,2015-09-20T13:00:00-05:00,Panthers,Texans
2,2015-09-20T13:00:00-05:00,Steelers,49ers
2,2015-09-20T13:00:00-05:00,Saints,Buccaneers
2,2015-09-20T13:00:00-05:00,Vikings,Lions
2,2015-09-20T13:00:00-05:00,Bears,Cardinals
2,2015-09-20T13:00:00-05:00,Bills,Patriots
2,2015-09-20T13:00:00-05:00,Bengals,Chargers
2,2015-09-20T13:00:00-05:00,Browns,Titans
2,2015-09-20T13:00:00-05:00,Giants,Falcons
2,2015-09-20T13:00:00-05:00,Redskins,Rams
2,2015-09-20T16:05:00-05:00,Jaguars,Dolphins
2,2015-09-20T16:05:00-05:00,Raiders,Ravens
2,2015-09-20T16:25:00-05:00,Eagles,Cowboys
2,2015-09-20T20:30:00-05:00,Packers,Seahawks
2,2015-09-21T20:30:00-05:00,Colts,Jets
3,2015-09-24T20:25:00-05:00,Giants,Redskins
3,2015-09-27T13:00:00-05:00,Cowboys,Falcons
3,2015-09-27T13:00:00-05:00,Titans,Colts
3,2015-09-27T13:00:00-05:00,Browns,Raiders
3,2015-09-27T13:00:00-05:00,Ravens,Bengals
3,2015-09-27T13:00:00-05:00,Patriots,Jaguars
3,2015-09-27T13:00:00-05:00,Panthers,Saints
3,2015-09-27T13:00:00-05:00,Jets,Eagles
3,2015-09-27T13:00:00-05:00,Texans,Buccaneers
3,2015-09-27T13:00:00-05:00,Vikings,Chargers
3,2015-09-27T13:00:00-05:00,Rams,Steelers
3,2015-09-27T16:05:00-05:00,Cardinals,49ers
3,2015-09-27T16:25:00-05:00,Dolphins,Bills
3,2015-09-27T16:25:00-05:00,Seahawks,Bears
3,2015-09-27T20:30:00-05:00,Lions,Broncos
3,2015-09-28T20:30:00-05:00,Packers,Chiefs
4,2015-10-01T20:25:00-05:00,Steelers,Ravens
4,2015-10-04T09:30:00-05:00,Dolphins,Jets
4,2015-10-04T13:00:00-05:00,Colts,Jaguars
4,2015-10-04T13:00:00-05:00,Bills,Giants
4,2015-10-04T13:00:00-05:00,Buccaneers,Panthers
4,2015-10-04T13:00:00-05:00,Redskins,Eagles
4,2015-10-04T13:00:00-05:00,Bears,Raiders
4,2015-10-04T13:00:00-05:00,Falcons,Texans
4,2015-10-04T13:00:00-05:00,Bengals,Chiefs
4,2015-10-04T16:05:00-05:00,Chargers,Browns
4,2015-10-04T16:25:00-05:00,49ers,Packers
4,2015-10-04T16:25:00-05:00,Cardinals,Rams
4,2015-10-04T16:25:00-05:00,Broncos,Vikings
4,2015-10-04T20:30:00-05:00,Saints,Cowboys
4,2015-10-05T20:30:00-05:00,Seahawks,Lions
5,2015-10-08T20:25:00-05:00,Texans,Colts
5,2015-10-11T13:00:00-05:00,Chiefs,Bears
5,2015-10-11T13:00:00-05:00,Bengals,Seahawks
5,2015-10-11T13:00:00-05:00,Falcons,Redskins
5,2015-10-11T13:00:00-05:00,Buccaneers,Jaguars
5,2015-10-11T13:00:00-05:00,Eagles,Saints
5,2015-10-11T13:00:00-05:00,Ravens,Browns
5,2015-10-11T13:00:00-05:00,Packers,Rams
5,2015-10-11T13:00:00-05:00,Titans,Bills
5,2015-10-11T16:05:00-05:00,Lions,Cardinals
5,2015-10-11T16:25:00-05:00,Cowboys,Patriots
5,2015-10-11T16:25:00-05:00,Raiders,Broncos
5,2015-10-11T20:30:00-05:00,Giants,49ers
5,2015-10-12T20:30:00-05:00,Chargers,Steelers
6,2015-10-15T20:25:00-05:00,Saints,Falcons
