"Admiral Ackbar"
"Ahsoka Tano"
"Asajj Ventress"
"BB-8"
"Bib Fortuna"
"Boba Fett"
"C-3PO"
"Captain Panaka"
"Captain Phasma"
"Captain Rex"
"Chewbacca"
"Count Dooku"
"Dak Ralter"
"Darth Maul"
"Darth Vader"
"Emperor Palpatine"
"Finn"
"General Grievous"
"General Hux"
"Grand Moff Tarkin"
"Greedo"
"Han Solo"
"Jabba the Hutt"
"Kit Fisto"
"Kylo Ren"
"Leia Organa"
"Luke Skywalker"
"Mace Windu"
"Maz Kanata"
"Mon Mothma"
"Nute Gunray"
"Obi-Wan Kenobi"
"Owen Lars"
"Padme Amidala"
"Plo Koon"
"Poe Dameron"
"Qui-Gon Jinn"
"R2-D2"
"Rey"
"Sebulba"
"Supreme Leader Snoke"
"Watto"
"Wedge Antilles"
"Wicket"
"Yoda"
